BUSINESS_TYPE_ID,BUSINESS_CODE,BUSINESS_DESCRIPTION
214,115111,Cotton Ginning
215,492110,Couriers and Express Delivery Services
216,561492,Court Reporting and Stenotype Services
217,922110,Courts
218,311512,Creamery Butter Manufacturing
219,561450,Credit Bureaus
220,522210,Credit Card Issuing
221,522130,Credit Unions
222,115113,"Crop Harvesting, Primarily by Machine"
223,211120,Crude Petroleum Extraction
224,212313,Crushed and Broken Granite Mining and Quarrying
225,212312,Crushed and Broken Limestone Mining and Quarrying
226,335931,Current-Carrying Wiring Device Manufacturing
227,314120,Curtain and Linen Mills
228,337212,Custom Architectural Woodwork and Millwork Manufacturing
229,325991,Custom Compounding of Purchased Resins
230,541511,Custom Computer Programming Services
231,332114,Custom Roll Forming
232,321912,"Cut Stock, Resawing Lumber, and Planing"
233,327991,Cut Stone and Stone Product Manufacturing
234,315210,Cut and Sew Apparel Contractors
235,315250,Cut and Sew Apparel Manufacturing (except Contractors)
236,333515,Cutting Tool and Machine Tool Accessory Manufacturing
237,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturi"
238,112120,Dairy Cattle and Milk Production
239,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers
240,711120,Dance Companies
241,483111,Deep Sea Freight Transportation
242,483112,Deep Sea Passenger Transportation
243,339114,Dental Equipment and Supplies Manufacturing
244,339116,Dental Laboratories
245,455110,Department Stores
246,621512,Diagnostic Imaging Centers
247,812191,Diet and Weight Reducing Centers
248,212311,Dimension Stone Mining and Quarrying
249,524114,Direct Health and Medical Insurance Carriers
250,524113,Direct Life Insurance Carriers
251,541860,Direct Mail Advertising
252,524126,Direct Property and Casualty Insurance Carriers
253,524127,Direct Title Insurance Carriers
254,513140,Directory and Mailing List Publishers
255,312140,Distilleries
256,561410,Document Preparation Services
257,311111,Dog and Cat Food Manufacturing
258,339930,"Doll, Toy, and Game Manufacturing"
259,541340,Drafting Services
260,311423,Dried and Dehydrated Food Manufacturing
261,213111,Drilling Oil and Gas Wells
262,722410,Drinking Places (Alcoholic Beverages)
263,512132,Drive-In Motion Picture Theaters
264,424210,Drugs and Druggists' Sundries Merchant Wholesalers
265,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Fl"
266,111130,Dry Pea and Bean Farming
267,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
268,812320,Drycleaning and Laundry Services (except Coin-Operated)
269,238310,Drywall and Insulation Contractors
270,112130,Dual-Purpose Cattle Ranching and Farming
271,611710,Educational Support Services
272,221121,Electric Bulk Power Transmission and Control
273,335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing
274,221122,Electric Power Distribution
275,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related "
276,238210,Electrical Contractors and Other Wiring Installation Contractors
277,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
278,334111,Electronic Computer Manufacturing
279,334417,Electronic Connector Manufacturing
280,811210,Electronic and Precision Equipment Repair and Maintenance
281,449210,Electronics and Appliance Retailers
282,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
283,611110,Elementary and Secondary Schools
284,333921,Elevator and Moving Stairway Manufacturing
285,624230,Emergency and Other Relief Services
286,561311,Employment Placement Agencies
287,321215,Engineered Wood Member Manufacturing
288,541330,Engineering Services
289,813312,"Environment, Conservation and Wildlife Organizations"
290,541620,Environmental Consulting Services
291,325193,Ethyl Alcohol Manufacturing
292,611691,Exam Preparation and Tutoring
293,921110,Executive Offices
294,561312,Executive Search Services
295,921140,"Executive and Legislative Offices, Combined"
296,325920,Explosives Manufacturing
297,561710,Exterminating and Pest Control Services
298,313320,Fabric Coating Mills
299,332996,Fabricated Pipe and Pipe Fitting Manufacturing
300,332312,Fabricated Structural Metal Manufacturing
301,561210,Facilities Support Services
302,621410,Family Planning Centers
303,115115,Farm Labor Contractors and Crew Leaders
304,333111,Farm Machinery and Equipment Manufacturing
305,115116,Farm Management Services
306,493130,Farm Product Warehousing and Storage
307,424910,Farm Supplies Merchant Wholesalers
308,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
309,339993,"Fastener, Button, Needle, and Pin Manufacturing"
310,311225,Fats and Oils Refining and Blending
311,325314,Fertilizer (Mixing Only) Manufacturing
312,335921,Fiber Optic Cable Manufacturing
313,313110,"Fiber, Yarn, and Thread Mills"
314,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Act"
315,611610,Fine Arts Schools
316,112511,Finfish Farming and Fish Hatcheries
317,114111,Finfish Fishing
318,238350,Finish Carpentry Contractors
319,922160,Fire Protection
320,424460,Fish and Seafood Merchant Wholesalers
321,445250,Fish and Seafood Retailers
322,713940,Fitness and Recreational Sports Centers
323,327211,Flat Glass Manufacturing
324,311930,Flavoring Syrup and Concentrate Manufacturing
325,611512,Flight Training
326,449121,Floor Covering Retailers
327,238330,Flooring Contractors
328,111422,Floriculture Production
329,459310,Florists
330,311211,Flour Milling
331,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesaler"
332,311511,Fluid Milk Manufacturing
333,333995,Fluid Power Cylinder and Actuator Manufacturing
334,333996,Fluid Power Pump and Motor Manufacturing
335,332912,Fluid Power Valve and Hose Fitting Manufacturing
336,322212,Folding Paperboard Box Manufacturing
337,456191,Food (Health) Supplement Retailers
338,333241,Food Product Machinery Manufacturing
339,722310,Food Service Contractors
340,316210,Footwear Manufacturing
341,424340,Footwear Merchant Wholesalers
342,811430,Footwear and Leather Goods Repair
343,113210,Forest Nurseries and Gathering of Forest Products
344,532281,Formal Wear and Costume Rental
345,221112,Fossil Fuel Electric Power Generation
346,238130,Framing Contractors
347,621493,Freestanding Ambulatory Surgical and Emergency Centers
348,488510,Freight Transportation Arrangement
349,424480,Fresh Fruit and Vegetable Merchant Wholesalers
350,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
351,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
352,311412,Frozen Specialty Food Manufacturing
353,111336,Fruit and Tree Nut Combination Farming
354,311421,Fruit and Vegetable Canning
355,445230,Fruit and Vegetable Retailers
356,457210,Fuel Dealers
357,722511,Full-Service Restaurants
358,812210,Funeral Homes and Funeral Services
359,112930,Fur-Bearing Animal and Rabbit Production
360,423210,Furniture Merchant Wholesalers
361,449110,Furniture Retailers
362,339991,"Gasket, Packing, and Sealing Device Manufacturing"
363,457110,Gasoline Stations with Convenience Stores
364,811111,General Automotive Repair
365,484110,"General Freight Trucking, Local"
366,484121,"General Freight Trucking, Long-Distance, Truckload"
367,484122,"General Freight Trucking, Long-Distance, Less Than Truckload"
368,424410,General Line Grocery Merchant Wholesalers
369,622110,General Medical and Surgical Hospitals
370,532310,General Rental Centers
371,493110,General Warehousing and Storage
372,541360,Geophysical Surveying and Mapping Services
373,221116,Geothermal Electric Power Generation
374,459420,"Gift, Novelty, and Souvenir Retailers"
375,327213,Glass Container Manufacturing
376,327215,Glass Product Manufacturing Made of Purchased Glass
377,238150,Glass and Glazing Contractors
378,112420,Goat Farming
379,212220,Gold Ore and Silver Ore Mining
380,713910,Golf Courses and Country Clubs
381,424510,Grain and Field Bean Merchant Wholesalers
382,813211,Grantmaking Foundations
383,111332,Grape Vineyards
384,541430,Graphic Design Services
385,513191,Greeting Card Publishers
386,327992,Ground or Treated Mineral and Earth Manufacturing
387,336414,Guided Missile and Space Vehicle Manufacturing
388,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion U
389,327420,Gypsum Product Manufacturing
390,621491,HMO Medical Centers
391,332510,Hardware Manufacturing
392,423710,Hardware Merchant Wholesalers
393,444140,Hardware Retailers
394,321211,Hardwood Veneer and Plywood Manufacturing
395,111940,Hay Farming
396,562112,Hazardous Waste Collection
397,562211,Hazardous Waste Treatment and Disposal
398,525120,Health and Welfare Funds
399,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
400,336120,Heavy Duty Truck Manufacturing
401,237310,"Highway, Street, and Bridge Construction"
402,712120,Historical Sites
403,459120,"Hobby, Toy, and Game Retailers"
404,112210,Hog and Pig Farming
405,444110,Home Centers
406,423220,Home Furnishing Merchant Wholesalers
407,621610,Home Health Care Services
408,532283,Home Health Equipment Rental
409,811411,Home and Garden Equipment Repair and Maintenance
410,112920,Horses and Other Equine Production
411,721110,Hotels (except Casino Hotels) and Motels
412,423620,"Household Appliances, Electric Housewares, and Consumer Electroni"
413,337126,Household Furniture (except Wood and Upholstered) Manufacturing
414,541612,Human Resources Consulting Services
415,813311,Human Rights Organizations
416,114210,Hunting and Trapping
417,221111,Hydroelectric Power Generation
418,311520,Ice Cream and Frozen Dessert Manufacturing
419,312113,Ice Manufacturing
420,325413,In-Vitro Diagnostic Substance Manufacturing
421,711510,"Independent Artists, Writers, and Performers"
422,541850,Indoor and Outdoor Display Advertising
423,236210,Industrial Building Construction
424,541420,Industrial Design Services
425,325120,Industrial Gas Manufacturing
426,812332,Industrial Launderers
427,423830,Industrial Machinery and Equipment Merchant Wholesalers
428,333511,Industrial Mold Manufacturing
429,333994,Industrial Process Furnace and Oven Manufacturing
