"JUR","PARID","TAXYR","FILEYR","INVENTORY_TYPE","INVENTORY_MONTH","INVENTORY_AMT"
"2","4400-BIENVILLESTP","2025","2025","02","10","7500"
"2","4400-BIENVILLESTP","2025","2025","05","10","2000"
"2","4400-BIENVILLESTP","2025","2025","02","11","7500"
"2","4400-BIENVILLESTP","2025","2025","05","11","2000"
"2","4400-BIENVILLESTP","2025","2025","02","12","7500"
"2","4400-BIENVILLESTP","2025","2025","05","12","2000"
"2","560-FRENCHMRKTVENDORSP","2025","2025","01","1","250"
"2","560-FRENCHMRKTVENDORSP","2025","2025","01","2","250"
"2","560-FRENCHMRKTVENDORSP","2025","2025","01","3","250"
"2","560-FRENCHMRKTVENDORSP","2025","2025","01","4","250"
"2","560-FRENCHMRKTVENDORSP","2025","2025","01","5","250"
"2","560-FRENCHMRKTVENDORSP","2025","2025","01","6","250"
"2","560-FRENCHMRKTVENDORSP","2025","2025","01","7","250"
"2","560-FRENCHMRKTVENDORSP","2025","2025","01","8","250"
"2","560-FRENCHMRKTVENDORSP","2025","2025","01","9","250"
"2","560-FRENCHMRKTVENDORSP","2025","2025","01","10","250"
"2","560-FRENCHMRKTVENDORSP","2025","2025","01","11","250"
"2","560-FRENCHMRKTVENDORSP","2025","2025","01","12","250"
"7","7211-REGENTSTFP","2025","2025","01","6","5300"
"7","7211-REGENTSTFP","2025","2025","02","6","5000"
"1","116-BARONNESTP","2025","2025","01","1","1800"
"1","116-BARONNESTP","2025","2025","01","2","2300"
"1","116-BARONNESTP","2025","2025","01","3","1200"
"1","116-BARONNESTP","2025","2025","01","4","1200"
"1","116-BARONNESTP","2025","2025","01","5","1200"
"1","116-BARONNESTP","2025","2025","01","6","1200"
"1","116-BARONNESTP","2025","2025","01","7","1200"
"1","116-BARONNESTP","2025","2025","01","8","1200"
"1","116-BARONNESTP","2025","2025","01","9","1200"
"1","116-BARONNESTP","2025","2025","01","10","1500"
"1","116-BARONNESTP","2025","2025","01","11","1200"
"1","116-BARONNESTP","2025","2025","01","12","1200"
"2","5555-CANALBD010P","2025","2025","01","1","100"
"2","5555-CANALBD010P","2025","2025","02","1","500"
"2","5555-CANALBD010P","2025","2025","04","1","100"
"2","5555-CANALBD010P","2025","2025","01","2","100"
"2","5555-CANALBD010P","2025","2025","02","2","600"
"2","5555-CANALBD010P","2025","2025","04","2","100"
"2","5555-CANALBD010P","2025","2025","01","3","100"
"2","5555-CANALBD010P","2025","2025","02","3","500"
"2","5555-CANALBD010P","2025","2025","04","3","100"
"2","5555-CANALBD010P","2025","2025","01","4","100"
"2","5555-CANALBD010P","2025","2025","02","4","500"
"2","5555-CANALBD010P","2025","2025","04","4","100"
"2","5555-CANALBD010P","2025","2025","01","5","100"
"2","5555-CANALBD010P","2025","2025","02","5","400"
"2","5555-CANALBD010P","2025","2025","04","5","100"
"2","5555-CANALBD010P","2025","2025","01","6","80"
"2","5555-CANALBD010P","2025","2025","02","6","400"
"2","5555-CANALBD010P","2025","2025","04","6","80"
"2","5555-CANALBD010P","2025","2025","01","7","80"
"2","5555-CANALBD010P","2025","2025","02","7","400"
"2","5555-CANALBD010P","2025","2025","04","7","80"
"2","5555-CANALBD010P","2025","2025","01","8","80"
"2","5555-CANALBD010P","2025","2025","02","8","400"
"2","5555-CANALBD010P","2025","2025","04","8","80"
"2","5555-CANALBD010P","2025","2025","01","9","100"
"2","5555-CANALBD010P","2025","2025","02","9","500"
"2","5555-CANALBD010P","2025","2025","04","9","100"
"2","5555-CANALBD010P","2025","2025","01","10","100"
"2","5555-CANALBD010P","2025","2025","02","10","500"
"2","5555-CANALBD010P","2025","2025","04","10","100"
"2","5555-CANALBD010P","2025","2025","01","11","100"
"2","5555-CANALBD010P","2025","2025","02","11","600"
"2","5555-CANALBD010P","2025","2025","04","11","100"
"2","5555-CANALBD010P","2025","2025","01","12","80"
"2","5555-CANALBD010P","2025","2025","02","12","400"
"2","5555-CANALBD010P","2025","2025","04","12","80"
"2","337-ROYALSTP","2025","2025","01","1","9500"
"2","337-ROYALSTP","2025","2025","02","1","650"
"2","337-ROYALSTP","2025","2025","01","2","9500"
"2","337-ROYALSTP","2025","2025","02","2","650"
"2","337-ROYALSTP","2025","2025","01","3","9500"
"2","337-ROYALSTP","2025","2025","02","3","650"
"2","337-ROYALSTP","2025","2025","01","4","9500"
"2","337-ROYALSTP","2025","2025","02","4","650"
"2","337-ROYALSTP","2025","2025","01","5","9500"
"2","337-ROYALSTP","2025","2025","02","5","650"
"2","337-ROYALSTP","2025","2025","01","6","9500"
"2","337-ROYALSTP","2025","2025","02","6","650"
"2","337-ROYALSTP","2025","2025","01","7","9500"
"2","337-ROYALSTP","2025","2025","02","7","650"
"2","337-ROYALSTP","2025","2025","01","8","9500"
"2","337-ROYALSTP","2025","2025","02","8","650"
"2","337-ROYALSTP","2025","2025","01","9","9500"
"2","337-ROYALSTP","2025","2025","02","9","650"
"2","337-ROYALSTP","2025","2025","01","10","9500"
"2","337-ROYALSTP","2025","2025","02","10","650"
"2","337-ROYALSTP","2025","2025","01","11","9500"
"2","337-ROYALSTP","2025","2025","02","11","650"
"2","337-ROYALSTP","2025","2025","01","12","9500"
"2","337-ROYALSTP","2025","2025","02","12","650"
"2","1036-NRAMPARTSTP","2025","2025","02","1","1000"
"2","1036-NRAMPARTSTP","2025","2025","02","2","1000"
"2","1036-NRAMPARTSTP","2025","2025","02","3","1000"
"2","1036-NRAMPARTSTP","2025","2025","02","4","1000"
"2","1036-NRAMPARTSTP","2025","2025","02","5","1000"
"2","1036-NRAMPARTSTP","2025","2025","02","6","1000"
"2","1036-NRAMPARTSTP","2025","2025","02","7","1000"
"2","1036-NRAMPARTSTP","2025","2025","02","8","1000"
"2","1036-NRAMPARTSTP","2025","2025","02","9","1000"
"2","1036-NRAMPARTSTP","2025","2025","02","10","1000"
"2","1036-NRAMPARTSTP","2025","2025","02","11","1000"
"2","1036-NRAMPARTSTP","2025","2025","02","12","1000"
"6","4734-MAGAZINESTP","2025","2025","02","1","500"
"6","4734-MAGAZINESTP","2025","2025","02","2","500"
"6","4734-MAGAZINESTP","2025","2025","02","3","500"
"6","4734-MAGAZINESTP","2025","2025","02","4","500"
"6","4734-MAGAZINESTP","2025","2025","02","5","500"
"6","4734-MAGAZINESTP","2025","2025","02","6","500"
"6","4734-MAGAZINESTP","2025","2025","02","7","500"
"6","4734-MAGAZINESTP","2025","2025","02","8","500"
"6","4734-MAGAZINESTP","2025","2025","02","9","500"
"6","4734-MAGAZINESTP","2025","2025","02","10","500"
"6","4734-MAGAZINESTP","2025","2025","02","11","500"
"6","4734-MAGAZINESTP","2025","2025","02","12","500"
"3","10001-LAKEFORESTBD702P","2025","2025","05","1","150"
"3","10001-LAKEFORESTBD702P","2025","2025","05","2","150"
"3","10001-LAKEFORESTBD702P","2025","2025","05","3","150"
"3","10001-LAKEFORESTBD702P","2025","2025","05","4","150"
"3","10001-LAKEFORESTBD702P","2025","2025","05","5","150"
"3","10001-LAKEFORESTBD702P","2025","2025","05","6","150"
"3","10001-LAKEFORESTBD702P","2025","2025","05","7","150"
"3","10001-LAKEFORESTBD702P","2025","2025","05","8","150"
"3","10001-LAKEFORESTBD702P","2025","2025","05","9","150"
"3","10001-LAKEFORESTBD702P","2025","2025","05","10","150"
"3","10001-LAKEFORESTBD702P","2025","2025","05","11","150"
"3","10001-LAKEFORESTBD702P","2025","2025","05","12","150"
"2","1201-BURGUNDYSTP","2025","2025","01","1","1200"
"2","1201-BURGUNDYSTP","2025","2025","01","2","1900"
"2","1201-BURGUNDYSTP","2025","2025","01","3","1100"
"2","1201-BURGUNDYSTP","2025","2025","01","4","1100"
"2","1201-BURGUNDYSTP","2025","2025","01","5","1000"
"2","1201-BURGUNDYSTP","2025","2025","01","6","1000"
"2","1201-BURGUNDYSTP","2025","2025","01","7","1000"
"2","1201-BURGUNDYSTP","2025","2025","01","8","1000"
"2","1201-BURGUNDYSTP","2025","2025","01","9","1200"
"2","1201-BURGUNDYSTP","2025","2025","01","10","1400"
"2","1201-BURGUNDYSTP","2025","2025","01","11","1000"
